sa_2015_code,ratio_sa_intersection_com
157010001,0.0154881
157015004,0.0002082
157011001,0.0093985
157011005,0.027774
157015005,0.0676201
157016019,0.9924666
157011003,0.051254
157015003,0.0004722
157015011,0.004365
157010004,0.6800632
157154009,1
157154003,1
157016007,0.9955369
157154010,0.9981737
157154001,1
157016016,1
157154004,1
157015009,0.4352611
157016013/157016014,1
157016020,1
157011010,0.4254438
157011007,0.6993211
157011011,1
157011009,1
157154006,1
157154011,0.9953067
157016015,0.9999465
157016002,0.9901438
157016004,1
157016011,1
157016003,1
157016001,0.9592123
157016008,0.9880259
157016010,1
157016022,1
157154012,0.9998789
157016006,1
157154007,1
157016005,1
157016012,1
157011002,0.8202643
157154005,1
157154002,1
157016018,1
157016017,1
157016021,1
157011006,1
157011008,1
157016009,1
157154008,1
