sa_2015_code,ratio_sa_intersection_com
047016031,0.0395668
047270004,0.0390831
047016013,0.0011387
047270007,0.6375204
047076005,0.0038892
047016051,0.2987261
047016061,1
047016032,0.715013
047016035,0.4871641
047016005,0.9886793
047016043,0.9965573
047016045,0.1400495
047016056,1
047016039,0.3848697
047016012,0.0028586
047016047,0.9861639
047016055,1
047270009,1
047016002,1
047016028,1
047016062,1
047016065,1
047016044,1
047016057,1
047016020,1
047016017,0.791624
047016023,1
047016038,1
047270005,0.8058869
047016001,0.8492839
047016053,1
047016037,1
047016011,0.6682737
047016015,1
047016019,0.7474562
047016066,0.8490684
047016016,0.7669728
047016009,0.7588947
047016003,1
047016006,1
047016060,1
047016033,1
047016034,0.9408692
047016027,0.5791824
047016008,1
047016052,0.3459823
047016024,0.9371617
047016058,1
047016004,1
047016048,0.9797592
047270006,1
047270008,1
047016054,1
047016007,1
047016010,1
047016049,1
047016026,1
047016021,1
047016036,1
047016025,1
047016022,1
047016063,1
047016041,1
047016046,0.9993192
047016018,1
047016040,1
047016042,0.9516304
047016059,1
