sa_2022_code,ratio_sa_intersection_com
207081021/01,1
207081022,1
207081010,1
207081016,1
207081003,1
207081024,1
207081008,1
207081018,1
207081002,1
207081001,1
207081014,1
207081011/207081020,1
207081004,1
207081012,1
207081005,1
207081006,1
207081017,1
207081019,1
207081023,1
207081009,1
207081021/02,1
207050009,1
207038006,1
207038007,1
207038002,1
207071010,1
207071019,1
207071018,1
207071030,1
207071017,1
207071013,1
207071028,1
207071011,1
207071016,1
207071033,1
207071006,1
207071014,1
207071015,1
207071031,1
207071003,1
207071007,1
207071005,1
207071027,1
207071004/207071026,1
207071009,1
207071012,1
207071002,1
207071001,1
207071022,1
207071024,1
207071025,1
207071032,1
207071020,1
207071023,1
207071021,1
207071008,1
207071029,1
207082011,1
207082023,1
207082015,1
207082020,1
207082003,1
207082019,1
207082022,1
207082017,1
207082002,1
207082012,1
207082014,1
207082016,1
207082005/207082006,1
207082010,1
207082013,1
207082004,1
207082018,1
207082008,1
207082009,1
207082001,1
207082007,1
207055007,1
207055002,1
207055009,1
207055015,1
207055016,1
207055003,1
207055010,1
207055014,1
207081013,0.9851037
207081015,1
207081007,1
207050004,0.9766195
207050007,0.7704698
207050005,1
207050010,1
207050001/207050002,1
207050003,1
207050006,0.4621249
207038003/01,0.9995727
207038008,0.9969301
207071034,1
207082021,1
207055012,1
207055006,1
207055011,1
207055005,1
207055004/207055008,1
207038004,1
207038001/207038005,1
207055001,1
207038003/02,1
207055013,1
207050008,1
207008002,0.0546723
207037002,1
207037003,0.6013383
207037001,1
207019001,0.8518308
207019003,0.0063539
207019008,0.3647505
207019004,0.0058721
207019006,0.0006308
207020003,0.0007353
207020001,0.0152114
207044001,0.0172941
207081025,1
